
2025/04/01 (18:02:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/01 (18:02:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/01 (18:07:34) | ===> btop++ v.1.4.0
2025/04/01 (18:07:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/01 (18:07:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/01 (18:12:30) | ===> btop++ v.1.4.0
2025/04/01 (18:12:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/01 (18:12:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/01 (18:20:38) | ===> btop++ v.1.4.0
2025/04/01 (18:20:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/01 (18:20:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/01 (20:02:36) | ===> btop++ v.1.4.0
2025/04/01 (20:02:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/01 (20:02:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/02 (22:24:10) | ===> btop++ v.1.4.0
2025/04/02 (22:24:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/02 (22:24:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/03 (00:16:30) | ===> btop++ v.1.4.0
2025/04/03 (00:16:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/03 (00:16:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/09 (19:06:06) | ===> btop++ v.1.4.0
2025/04/09 (19:06:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/09 (19:06:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/09 (19:11:13) | ===> btop++ v.1.4.0
2025/04/09 (19:11:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/09 (19:11:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/10 (17:34:34) | ===> btop++ v.1.4.0
2025/04/10 (17:34:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/10 (17:34:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

